id,payee_id,deal_id,period,amount,product,close_date,metadata
TXN-00001,P015,DEAL-2245,2026-05,4237.57,Add-On,2026-05-22,{}
TXN-00002,P040,DEAL-1672,2026-03,39986.46,Pro,2026-03-28,{}
TXN-00003,P030,DEAL-6934,2026-06,5137.65,,2026-06-21,{}
TXN-00004,P038,DEAL-8921,2026-04,256433.65,Enterprise,2026-04-03,{}
TXN-00005,P032,DEAL-7209,2026-03,173576.63,Enterprise,2026-03-09,{}
TXN-00006,P054,DEAL-5526,2026-05,179156.81,Enterprise,2026-05-18,{}
TXN-00007,P048,DEAL-9041,2026-04,1155.19,,2026-04-22,{}
TXN-00008,P037,DEAL-6632,2026-04,2976.75,Add-On,2026-04-08,"{""contract_length"": 12, ""renewal"": false}"
TXN-00009,P038,DEAL-4033,2026-02,61702.33,Pro,2026-02-20,{}
TXN-00010,P015,DEAL-5853,2026-02,-10915.63,Starter,2026-02-18,{}
TXN-00011,P045,DEAL-9042,2026-01,1110.39,,2026-01-02,{}
TXN-00012,P008,DEAL-2070,2026-04,68520.54,Enterprise,,"{""contract_length"": 36, ""renewal"": false}"
TXN-00013,P018,DEAL-2940,2026-05,4745.57,,2026-05-13,{}
TXN-00014,P041,DEAL-8025,2026-03,53471.91,Pro,2026-03-07,{}
TXN-00015,P006,DEAL-3573,2026-02,48639.46,Pro,2026-02-16,{}
TXN-00016,P055,DEAL-5632,2026-06,5086.28,,2026-06-21,{}
TXN-00017,P015,DEAL-7965,2026-01,25736.66,Pro,2026-01-02,{}
TXN-00018,P040,DEAL-5728,2026-04,167174.49,Enterprise,2026-04-18,{}
TXN-00019,P003,DEAL-8078,2026-06,-4964.03,Starter,2026-06-19,{}
TXN-00020,P053,DEAL-5415,2026-05,240777.25,Enterprise,2026-05-09,{}
TXN-00021,P045,DEAL-9056,2026-01,136990.26,Enterprise,2026-01-11,{}
TXN-00022,P052,DEAL-7561,2026-05,163706.48,Enterprise,2026-05-13,{}
TXN-00023,P001,DEAL-9889,2026-04,63551.02,Enterprise,2026-04-15,{}
TXN-00024,P039,DEAL-3146,2026-03,270211.65,Enterprise,,{}
TXN-00025,P055,DEAL-3594,2026-03,10957.21,Pro,2026-03-04,{}
TXN-00026,P012,DEAL-9165,2026-06,8615.34,Starter,2026-06-08,{}
TXN-00027,P015,DEAL-9327,2026-06,70481.89,Pro,2026-06-26,{}
TXN-00028,P021,DEAL-5891,2026-05,79923.16,Pro,2026-05-12,{}
TXN-00029,P027,DEAL-8460,2026-03,2697.87,,2026-03-25,{}
TXN-00030,P034,DEAL-7246,2026-04,4065.77,Add-On,2026-04-05,{}
TXN-00031,P007,DEAL-8213,2026-01,-3311.03,Pro,2026-01-03,{}
TXN-00032,P024,DEAL-7512,2026-06,262941.32,Enterprise,2026-06-11,{}
TXN-00033,P035,DEAL-9864,2026-01,14789.45,Pro,2026-01-24,"{""contract_length"": 12, ""renewal"": true}"
TXN-00034,P054,DEAL-5906,2026-01,131093.67,Enterprise,2026-01-08,{}
TXN-00035,P014,DEAL-3785,2026-02,202372.95,Enterprise,2026-02-19,"{""contract_length"": 24, ""renewal"": false}"
TXN-00036,P052,DEAL-1153,2026-04,10808.94,Starter,2026-04-19,{}
TXN-00037,P054,DEAL-5097,2026-04,3719.1,,2026-04-13,{}
TXN-00038,P054,DEAL-5837,2026-01,6924.07,,2026-01-24,{}
TXN-00039,P035,DEAL-5689,2026-02,66135.24,Pro,2026-02-25,{}
TXN-00040,P011,DEAL-2591,2026-06,677.4,Add-On,,{}
TXN-00041,P021,DEAL-6352,2026-06,93910.02,Enterprise,2026-06-17,{}
TXN-00042,P013,DEAL-5210,2026-04,3656.27,,2026-04-03,"{""contract_length"": 12, ""renewal"": false}"
TXN-00043,P039,DEAL-6992,2026-01,4551.17,,2026-01-24,{}
TXN-00044,P045,DEAL-7086,2026-01,-17742.58,Add-On,2026-01-08,{}
TXN-00045,P032,DEAL-5951,2026-06,-1225.64,Enterprise,2026-06-08,{}
TXN-00046,P032,DEAL-7078,2026-06,3634.18,Add-On,2026-06-14,{}
TXN-00047,P044,DEAL-7686,2026-03,222570.17,Enterprise,2026-03-12,"{""contract_length"": 36, ""renewal"": false}"
TXN-00048,P048,DEAL-6876,2026-01,118970.36,Enterprise,2026-01-03,{}
TXN-00049,P043,DEAL-1349,2026-01,4001.58,,2026-01-27,{}
TXN-00050,P016,DEAL-4817,2026-03,2327.99,,,{}
TXN-00051,P011,DEAL-9850,2026-03,2570.47,,,"{""contract_length"": 12, ""renewal"": false}"
TXN-00052,P019,DEAL-1858,2026-02,2394.32,Add-On,,{}
TXN-00053,P041,DEAL-2786,2026-04,25508.48,Pro,2026-04-22,{}
TXN-00054,P002,DEAL-1996,2026-04,4614.56,,2026-04-03,{}
TXN-00055,P012,DEAL-2076,2026-02,10116.13,Starter,2026-02-20,{}
TXN-00056,P043,DEAL-8048,2026-01,7316.01,,2026-01-24,{}
TXN-00057,P017,DEAL-7779,2026-03,5081.49,,2026-03-22,{}
TXN-00058,P053,DEAL-8770,2026-01,257942.97,Enterprise,2026-01-26,"{""contract_length"": 12, ""renewal"": false}"
TXN-00059,P029,DEAL-6793,2026-06,4806.43,,,{}
TXN-00060,P007,DEAL-9313,2026-02,55971.54,Pro,2026-02-12,"{""contract_length"": 24, ""renewal"": true}"
TXN-00061,P039,DEAL-1430,2026-05,4232.57,Add-On,2026-05-10,{}
TXN-00062,P014,DEAL-3347,2026-05,2303.53,Add-On,2026-06-17,{}
TXN-00063,P024,DEAL-3578,2026-03,11380.75,Starter,2026-01-05,{}
TXN-00064,P053,DEAL-2336,2026-03,215484.67,Enterprise,2026-03-25,{}
TXN-00065,P008,DEAL-5640,2026-06,3169.1,Add-On,2026-06-20,"{""contract_length"": 12, ""renewal"": false}"
TXN-00066,P011,DEAL-5186,2026-03,3559.8,Starter,2026-03-18,{}
TXN-00067,P052,DEAL-6802,2026-01,-865.46,Enterprise,2026-01-19,{}
TXN-00068,P045,DEAL-7843,2026-03,151258.08,Enterprise,2026-03-15,{}
TXN-00069,P006,DEAL-8155,2026-01,40497.36,Pro,,{}
TXN-00070,P017,DEAL-6456,2026-02,177620.82,Enterprise,2026-02-12,{}
TXN-00071,P048,DEAL-3419,2026-02,86611.05,Enterprise,2026-02-21,"{""contract_length"": 36, ""renewal"": false}"
TXN-00072,P040,DEAL-8354,2026-06,55009.43,Pro,2026-06-11,{}
TXN-00073,P031,DEAL-5961,2026-03,13932.05,Pro,2026-03-02,{}
TXN-00074,P048,DEAL-2479,2026-05,45494.75,Pro,2026-05-02,{}
TXN-00075,P048,DEAL-4084,2026-03,43294.03,Pro,,"{""contract_length"": 24, ""renewal"": true}"
TXN-00076,P014,DEAL-1641,2026-02,2469.91,Add-On,2026-02-12,{}
TXN-00077,P024,DEAL-1857,2026-06,2005.92,Add-On,2026-06-09,{}
TXN-00078,P043,DEAL-3463,2026-03,195684.88,Enterprise,2026-03-23,{}
TXN-00079,P055,DEAL-2388,2026-03,36367.55,Pro,2026-03-27,{}
TXN-00080,P037,DEAL-2531,2026-06,2405.33,Add-On,2026-06-07,{}
TXN-00081,P015,DEAL-4711,2026-02,15401.56,Pro,2026-02-27,{}
TXN-00082,P052,DEAL-6517,2026-05,51807.25,Pro,2026-05-20,{}
TXN-00083,P031,DEAL-1715,2026-04,10792.72,Starter,2026-04-24,{}
TXN-00084,P018,DEAL-6070,2026-04,2746.15,,2026-04-25,{}
TXN-00085,P037,DEAL-7859,2026-02,2797.28,,2026-04-28,{}
TXN-00086,P055,DEAL-9452,2026-01,3090.38,Starter,2026-01-27,{}
TXN-00087,P017,DEAL-2940,2026-03,153724.23,Enterprise,2026-03-03,{}
TXN-00088,P055,DEAL-6493,2026-02,12681.22,Pro,2026-02-25,{}
TXN-00089,P001,DEAL-2298,2026-01,4803.51,Starter,2026-01-14,"{""contract_length"": 24, ""renewal"": true}"
TXN-00090,P004,DEAL-4906,2026-04,4072.55,Add-On,2026-04-20,{}
TXN-00091,P040,DEAL-4963,2026-06,-7379.91,Pro,2026-06-22,"{""contract_length"": 24, ""renewal"": true}"
TXN-00092,P038,DEAL-9312,2026-05,11423.4,Pro,,{}
TXN-00093,P002,DEAL-6850,2026-01,5134.64,Starter,2026-01-25,{}
TXN-00094,P038,DEAL-6546,2026-06,68126.86,Pro,2026-06-06,{}
TXN-00095,P032,DEAL-1605,2026-03,13066.44,Pro,,{}
TXN-00096,P038,DEAL-8756,2026-03,238322.73,Enterprise,2026-03-28,{}
TXN-00097,P026,DEAL-8159,2026-04,2478.81,Add-On,2026-04-23,{}
TXN-00098,P037,DEAL-5369,2026-01,2410.25,Add-On,2026-01-10,{}
TXN-00099,P052,DEAL-5843,2026-03,200655.41,Enterprise,2026-03-02,{}
TXN-00100,P044,DEAL-8126,2026-03,4910.12,Add-On,,{}
TXN-00101,P053,DEAL-3621,2026-01,69406.85,Pro,2026-01-08,{}
TXN-00102,P027,DEAL-1530,2026-05,57534.34,Pro,2026-05-19,"{""contract_length"": 24, ""renewal"": false}"
TXN-00103,P020,DEAL-5089,2026-01,233918.71,Enterprise,2026-01-09,{}
TXN-00104,P016,DEAL-5678,2026-06,100044.59,Enterprise,,{}
TXN-00105,P006,DEAL-6236,2026-06,11224.03,Starter,2026-06-06,{}
TXN-00106,P045,DEAL-3852,2026-03,25696.91,Pro,2026-03-16,"{""contract_length"": 36, ""renewal"": false}"
TXN-00107,P039,DEAL-3126,2026-05,66437.03,Enterprise,2026-05-14,{}
TXN-00108,P005,DEAL-3053,2026-03,833.74,Add-On,2026-03-27,{}
TXN-00109,P014,DEAL-3114,2026-04,73749.86,Pro,2026-04-06,{}
TXN-00110,P017,DEAL-6669,2026-05,12997.14,Starter,2026-05-05,{}
TXN-00111,P006,DEAL-9234,2026-06,51426.59,Pro,2026-06-20,{}
TXN-00112,P003,DEAL-1464,2026-01,287136.71,Enterprise,2026-01-19,{}
TXN-00113,P035,DEAL-9938,2026-03,4804.93,Add-On,2026-03-10,{}
TXN-00114,P013,DEAL-8202,2026-04,166110.54,Enterprise,2026-04-11,{}
TXN-00115,P028,DEAL-3142,2026-03,49315.59,Pro,2026-03-08,"{""contract_length"": 12, ""renewal"": false}"
TXN-00116,P044,DEAL-7850,2026-02,9120.8,,2026-02-07,{}
TXN-00117,P036,DEAL-8648,2026-04,8465.81,Starter,2026-04-08,{}
TXN-00118,P004,DEAL-5609,2026-04,71763.76,Pro,2026-04-28,"{""contract_length"": 12, ""renewal"": false}"
TXN-00119,P028,DEAL-6995,2026-01,62789.42,Enterprise,2026-01-13,{}
TXN-00120,P020,DEAL-2946,2026-02,148475.93,Enterprise,2026-02-25,"{""contract_length"": 36, ""renewal"": false}"
TXN-00121,P003,DEAL-1637,2026-02,1998.68,Add-On,2026-02-17,"{""contract_length"": 36, ""renewal"": false}"
TXN-00122,P044,DEAL-5902,2026-05,8595.09,Starter,2026-05-16,{}
TXN-00123,P053,DEAL-2795,2026-04,31537.45,Pro,2026-04-20,{}
TXN-00124,P041,DEAL-4728,2026-06,195880.82,Enterprise,2026-06-27,{}
TXN-00125,P018,DEAL-1517,2026-05,-6617.0,Add-On,2026-05-14,{}
TXN-00126,P034,DEAL-2020,2026-06,46307.82,Pro,2026-06-13,{}
TXN-00127,P038,DEAL-6608,2026-05,10786.29,Starter,2026-05-09,{}
TXN-00128,P018,DEAL-5571,2026-05,4923.27,Starter,2026-05-07,{}
TXN-00129,P034,DEAL-6714,2026-05,7494.98,,2026-05-13,{}
TXN-00130,P012,DEAL-5758,2026-01,14419.08,Starter,2026-01-24,{}
TXN-00131,P038,DEAL-5442,2026-05,1722.3,Add-On,2026-05-02,{}
TXN-00132,P045,DEAL-4814,2026-01,153325.34,Enterprise,2026-01-01,{}
TXN-00133,P013,DEAL-7666,2026-06,169362.13,Enterprise,2026-06-21,"{""contract_length"": 12, ""renewal"": true}"
TXN-00134,P003,DEAL-3868,2026-04,2582.1,,2026-04-16,{}
TXN-00135,P021,DEAL-1613,2026-01,9383.5,Starter,2026-01-21,{}
TXN-00136,P011,DEAL-2940,2026-04,4506.55,Starter,2026-04-09,{}
TXN-00137,P021,DEAL-4164,2026-02,69930.26,Pro,2026-02-03,{}
TXN-00138,P011,DEAL-8822,2026-03,10478.11,Pro,2026-03-11,{}
TXN-00139,P001,DEAL-5285,2026-06,11005.99,Starter,2026-06-13,{}
TXN-00140,P055,DEAL-6095,2026-06,209677.83,Enterprise,2026-06-05,{}
TXN-00141,P043,DEAL-7121,2026-04,2971.56,Add-On,2026-04-07,{}
TXN-00142,P043,DEAL-2341,2026-05,182043.28,Enterprise,2026-05-27,{}
TXN-00143,P040,DEAL-9792,2026-02,32968.23,Pro,2026-02-19,{}
TXN-00144,P031,DEAL-1911,2026-04,45927.35,Pro,,{}
TXN-00145,P002,DEAL-7487,2026-03,1027.14,,,{}
TXN-00146,P038,DEAL-1987,2026-01,57933.72,Enterprise,2026-01-24,{}
TXN-00147,P027,DEAL-8348,2026-04,70062.5,Enterprise,2026-04-28,{}
TXN-00148,P038,DEAL-7439,2026-05,60950.07,Pro,,"{""contract_length"": 24, ""renewal"": false}"
TXN-00149,P038,DEAL-7948,2026-05,255840.11,Enterprise,2026-05-24,{}
TXN-00150,P052,DEAL-7868,2026-05,9426.14,,2026-05-02,{}
TXN-00151,P004,DEAL-5009,2026-06,150566.34,Enterprise,2026-06-02,"{""contract_length"": 24, ""renewal"": true}"
TXN-00152,P040,DEAL-6224,2026-05,64077.67,Pro,2026-05-22,{}
TXN-00153,P020,DEAL-1998,2026-05,71579.97,Pro,2026-05-16,"{""contract_length"": 24, ""renewal"": false}"
