transaction_id,payee_id,period,rule_id,base_amount,rate,commission_amount,notes
D-0055,alice,2026-05,enterprise_spif,49313.00,0.02,986.26,Flat rate 0.02 on 49313
D-0058,alice,2026-05,enterprise_spif,48309.00,0.02,966.18,Flat rate 0.02 on 48309
D-0073,alice,2026-06,enterprise_spif,56173.00,0.02,1123.46,Flat rate 0.02 on 56173
D-0097,alice,2026-04,enterprise_spif,85000.00,0.02,1700.00,Flat rate 0.02 on 85000
D-0098,alice,2026-06,enterprise_spif,85000.00,0.02,1700.00,Flat rate 0.02 on 85000
D-0013,alice,2026-04,new_logo_accel,15328.00,0.120,1839.36,Accelerator 1.5x on 15328 above 1.0
D-0022,alice,2026-04,new_logo_accel,40382.00,0.120,4845.84,Accelerator 1.5x on 40382 above 1.0
D-0034,alice,2026-04,new_logo_accel,68104.00,0.120,8172.48,Accelerator 1.5x on 68104.0 above 1.0
D-0079,alice,2026-06,new_logo_accel,55909.00,0.120,6709.08,Accelerator 1.5x on 55909.0 above 1.0
*,alice,2026-04,payout_cap,-31925.38,1,-31925.38,plan_cap_adjustment: 56925.38000000000000000000000 capped to 25000
*,alice,2026-06,payout_cap,-16369.74,1,-16369.74,plan_cap_adjustment: 41369.74000000000000000000000 capped to 25000
D-0001,alice,2026-04,tiered_core,2453.00,0.08,196.24,Tier 1.0: 2453 @ 0.08
D-0002,alice,2026-04,tiered_core,1039.00,0.15,155.85,Tier 100.0: 1039 @ 0.15
D-0005,alice,2026-04,tiered_core,417.00,0.15,62.55,Tier 100.0: 417 @ 0.15
D-0006,alice,2026-04,tiered_core,5945.00,0.15,891.75,Tier 100.0: 5945 @ 0.15
D-0013,alice,2026-04,tiered_core,15328.00,0.15,2299.20,Tier 100.0: 15328 @ 0.15
D-0016,alice,2026-04,tiered_core,7500.00,0.05,375.00,Tier 0.5: 7500.0 @ 0.05
D-0016,alice,2026-04,tiered_core,3482.00,0.08,278.56,Tier 1.0: 3482.0 @ 0.08
D-0022,alice,2026-04,tiered_core,40382.00,0.15,6057.30,Tier 100.0: 40382 @ 0.15
D-0025,alice,2026-04,tiered_core,1565.00,0.08,125.20,Tier 1.0: 1565.000000000000000000000000 @ 0.08
D-0025,alice,2026-04,tiered_core,1921.00,0.12,230.52,Tier 1.5: 1921.000000000000000000000000 @ 0.12
D-0026,alice,2026-04,tiered_core,7379.00,0.15,1106.85,Tier 100.0: 7379 @ 0.15
D-0029,alice,2026-04,tiered_core,19894.00,0.15,2984.10,Tier 100.0: 19894 @ 0.15
D-0030,alice,2026-04,tiered_core,3709.00,0.15,556.35,Tier 100.0: 3709 @ 0.15
D-0034,alice,2026-04,tiered_core,83104.00,0.15,12465.60,Tier 100.0: 83104 @ 0.15
D-0045,alice,2026-05,tiered_core,7398.00,0.15,1109.70,Tier 100.0: 7398 @ 0.15
D-0049,alice,2026-05,tiered_core,4093.00,0.15,613.95,Tier 100.0: 4093 @ 0.15
D-0050,alice,2026-05,tiered_core,7346.00,0.15,1101.90,Tier 100.0: 7346 @ 0.15
D-0055,alice,2026-05,tiered_core,7500.00,0.05,375.00,Tier 0.5: 7500.0 @ 0.05
D-0055,alice,2026-05,tiered_core,7500.00,0.08,600.00,Tier 1.0: 7500.0 @ 0.08
D-0055,alice,2026-05,tiered_core,7500.00,0.12,900.00,Tier 1.5: 7500.0 @ 0.12
D-0055,alice,2026-05,tiered_core,26813.00,0.15,4021.95,Tier 100.0: 26813.0 @ 0.15
D-0057,alice,2026-05,tiered_core,5369.00,0.15,805.35,Tier 100.0: 5369 @ 0.15
D-0058,alice,2026-05,tiered_core,48309.00,0.15,7246.35,Tier 100.0: 48309 @ 0.15
D-0060,alice,2026-05,tiered_core,20211.00,0.15,3031.65,Tier 100.0: 20211 @ 0.15
D-0062,alice,2026-05,tiered_core,3731.00,0.15,559.65,Tier 100.0: 3731 @ 0.15
D-0066,alice,2026-05,tiered_core,7732.00,0.15,1159.80,Tier 100.0: 7732 @ 0.15
D-0073,alice,2026-06,tiered_core,4834.00,0.08,386.72,Tier 1.0: 4834.000000000000000000000000 @ 0.08
D-0073,alice,2026-06,tiered_core,7500.00,0.12,900.00,Tier 1.5: 7500.00000000000000000000000 @ 0.12
D-0073,alice,2026-06,tiered_core,43839.00,0.15,6575.85,Tier 100.0: 43839.00000000000000000000000 @ 0.15
D-0079,alice,2026-06,tiered_core,70909.00,0.15,10636.35,Tier 100.0: 70909 @ 0.15
D-0096,alice,2026-06,tiered_core,7500.00,0.05,375.00,Tier 0.5: 7500.0 @ 0.05
D-0096,alice,2026-06,tiered_core,2666.00,0.08,213.28,Tier 1.0: 2666.0 @ 0.08
D-0097,alice,2026-04,tiered_core,5579.00,0.12,669.48,Tier 1.5: 5578.999999999999999999999995 @ 0.12
D-0097,alice,2026-04,tiered_core,79421.00,0.15,11913.15,Tier 100.0: 79421.00000000000000000000000 @ 0.15
D-0098,alice,2026-06,tiered_core,85000.00,0.15,12750.00,Tier 100.0: 85000 @ 0.15
D-0004,bob,2026-04,enterprise_spif,17280.00,0.02,345.60,Flat rate 0.02 on 17280
D-0032,bob,2026-04,enterprise_spif,19371.00,0.02,387.42,Flat rate 0.02 on 19371
D-0048,bob,2026-05,enterprise_spif,74822.00,0.02,1496.44,Flat rate 0.02 on 74822
D-0068,bob,2026-05,enterprise_spif,63082.00,0.02,1261.64,Flat rate 0.02 on 63082
D-0077,bob,2026-06,enterprise_spif,80914.00,0.02,1618.28,Flat rate 0.02 on 80914
D-0007,bob,2026-04,new_logo_accel,67236.00,0.120,8068.32,Accelerator 1.5x on 67236.0 above 1.0
D-0061,bob,2026-05,new_logo_accel,43354.00,0.120,5202.48,Accelerator 1.5x on 43354.0 above 1.0
D-0063,bob,2026-05,new_logo_accel,12100.00,0.120,1452.00,Accelerator 1.5x on 12100 above 1.0
D-0067,bob,2026-05,new_logo_accel,29050.00,0.120,3486.00,Accelerator 1.5x on 29050 above 1.0
