id,payee_id,deal_id,period,amount,product,close_date,credits
D-0044,isabel,OPP-0044,2026-05,2855,Renewal,2026-05-16,
D-0037,eve,OPP-0037,2026-05,2986,Add-on,2026-05-04,
D-0101,bob,OPP-0101,2026-04,18000,Pro,2026-04-17,bob:0.8:split|charlie:0.2:split
D-0082,dave,OPP-0082,2026-06,14730,Pro,2026-06-04,
D-0105,isabel,OPP-0105,2026-05,35000,Enterprise,2026-05-02,isabel:0.6:split|jordan:0.4:split
D-0029,alice,OPP-0029,2026-04,19894,Pro,2026-04-18,
D-0092,isabel,OPP-0092,2026-06,37018,Enterprise,2026-06-12,isabel:1:split|grace:0.15:overlay
D-0028,hector,OPP-0028,2026-04,3958,Add-on,2026-04-05,
D-0087,bob,OPP-0087,2026-06,3442,Starter,2026-06-05,
D-0039,jordan,OPP-0039,2026-05,2357,Add-on,2026-05-17,
D-0085,dave,OPP-0085,2026-06,4482,Renewal,2026-06-11,
D-0016,alice,OPP-0016,2026-04,10982,Pro,2026-04-03,
D-0068,bob,OPP-0068,2026-05,63082,Enterprise,2026-05-26,bob:1:split|grace:0.15:overlay
D-0045,alice,OPP-0045,2026-05,7398,Starter,2026-05-27,
D-0001,alice,OPP-0001,2026-04,2453,Add-on,2026-04-08,
D-0025,alice,OPP-0025,2026-04,3486,Starter,2026-04-09,
D-0038,bob,OPP-0038,2026-05,16367,Pro,2026-05-01,
D-0009,bob,OPP-0009,2026-04,1473,Starter,2026-04-07,
D-0098,alice,OPP-0098,2026-06,85000,Enterprise,2026-06-10,alice:0.7:split|charlie:0.3:split
D-0093,bob,OPP-0093,2026-06,76200,New Logo,2026-06-23,
D-0050,alice,OPP-0050,2026-05,7346,Renewal,2026-05-20,
D-0074,isabel,OPP-0074,2026-06,42388,New Logo,2026-06-14,
D-0034,alice,OPP-0034,2026-04,83104,New Logo,2026-04-15,
D-0078,charlie,OPP-0078,2026-06,2769,Add-on,2026-06-02,
D-0060,alice,OPP-0060,2026-05,20211,Pro,2026-05-19,
D-0011,bob,OPP-0011,2026-04,7142,Starter,2026-04-12,
D-0041,hector,OPP-0041,2026-05,7094,Starter,2026-05-21,
D-0024,hector,OPP-0024,2026-04,35021,Enterprise,2026-04-27,hector:1:split|grace:0.15:overlay
D-0100,dave,OPP-0100,2026-04,42000,New Logo,2026-04-11,dave:0.6:split|grace:0.4:split
D-0067,bob,OPP-0067,2026-05,29050,New Logo,2026-05-09,
D-0057,alice,OPP-0057,2026-05,5369,Add-on,2026-05-02,
D-0007,bob,OPP-0007,2026-04,82236,New Logo,2026-04-09,
D-0003,eve,OPP-0003,2026-04,912,Renewal,2026-04-19,
D-0036,eve,OPP-0036,2026-05,7448,Add-on,2026-05-18,
D-0012,dave,OPP-0012,2026-04,65217,Enterprise,2026-04-18,dave:1:split|grace:0.15:overlay
D-0106,isabel,OPP-0106,2026-06,35000,Enterprise,2026-06-01,isabel:0.6:split|jordan:0.4:split
D-0008,eve,OPP-0008,2026-04,25926,Enterprise,2026-04-23,
D-0052,eve,OPP-0052,2026-05,24861,Pro,2026-05-10,
D-0096,alice,OPP-0096,2026-06,10166,Pro,2026-06-04,
D-0069,hector,OPP-0069,2026-05,1002,Renewal,2026-05-02,
D-0066,alice,OPP-0066,2026-05,7732,Pro,2026-05-18,
D-0033,dave,OPP-0033,2026-04,3658,Add-on,2026-04-20,
D-0042,charlie,OPP-0042,2026-05,6508,Pro,2026-05-12,
D-0058,alice,OPP-0058,2026-05,48309,Enterprise,2026-05-03,
D-0088,dave,OPP-0088,2026-06,3945,Starter,2026-06-11,
D-0065,bob,OPP-0065,2026-05,6758,Starter,2026-05-28,
D-0018,bob,OPP-0018,2026-04,1532,Starter,2026-04-12,
D-0022,alice,OPP-0022,2026-04,40382,New Logo,2026-04-21,
D-0026,alice,OPP-0026,2026-04,7379,Renewal,2026-04-23,
D-0062,alice,OPP-0062,2026-05,3731,Add-on,2026-05-12,
D-0081,hector,OPP-0081,2026-06,82992,Enterprise,2026-06-03,
D-0103,eve,OPP-0103,2026-05,55000,Enterprise,2026-05-03,eve:0.5:split|grace:0.5:split
D-0054,bob,OPP-0054,2026-05,3898,Renewal,2026-05-04,
D-0063,bob,OPP-0063,2026-05,12100,New Logo,2026-05-22,
D-0051,bob,OPP-0051,2026-05,19171,Pro,2026-05-25,
D-0064,dave,OPP-0064,2026-05,1006,Add-on,2026-05-02,
D-0079,alice,OPP-0079,2026-06,70909,New Logo,2026-06-28,
