id,payee_id,deal_id,period,amount,product,close_date
T001,P001,D001,2026-01,5938.7,Pro,2026-01-01
T002,P001,D002,2026-01,18533.99,Enterprise,2026-01-05
T003,P001,D003,2026-01,16809.85,Enterprise,2026-01-18
T004,P001,D004,2026-01,6873.9,Enterprise,2026-01-02
T005,P002,D005,2026-01,1291.9,Standard,2026-01-17
T006,P002,D006,2026-01,5614.72,Standard,2026-01-07
T007,P002,D007,2026-01,4060.1,Standard,2026-01-15
T008,P002,D008,2026-01,20176.15,Enterprise,2026-01-28
T009,P002,D009,2026-01,4742.76,Standard,2026-01-06
T010,P003,D010,2026-01,4226.52,Pro,2026-01-07
T011,P003,D011,2026-01,12179.59,Enterprise,2026-01-13
T012,P003,D012,2026-01,3909.73,Standard,2026-01-12
T013,P003,D013,2026-01,6898.51,Standard,2026-01-02
T014,P003,D014,2026-01,16040.81,Enterprise,2026-01-13
T015,P001,D015,2026-02,8750.29,Standard,2026-02-19
T016,P001,D016,2026-02,9503.75,Standard,2026-02-02
T017,P001,D017,2026-02,10531.32,Standard,2026-02-03
T018,P001,D018,2026-02,8440.92,Pro,2026-02-13
T019,P001,D019,2026-02,4951.85,Pro,2026-02-27
T020,P001,D020,2026-02,8371.93,Standard,2026-02-12
T021,P002,D021,2026-02,6875.54,Standard,2026-02-20
T022,P002,D022,2026-02,6084.86,Standard,2026-02-08
T023,P002,D023,2026-02,3415.77,Standard,2026-02-09
T024,P002,D024,2026-02,9580.96,Enterprise,2026-02-11
T025,P003,D025,2026-02,7813.98,Pro,2026-02-26
T026,P003,D026,2026-02,11044.5,Standard,2026-02-03
T027,P003,D027,2026-02,5551.52,Pro,2026-02-19
T028,P003,D028,2026-02,10731.51,Standard,2026-02-16
T029,P001,D029,2026-03,4675.56,Pro,2026-03-05
T030,P001,D030,2026-03,6928.75,Standard,2026-03-24
T031,P001,D031,2026-03,5712.77,Standard,2026-03-24
T032,P001,D032,2026-03,4981.96,Standard,2026-03-19
T033,P001,D033,2026-03,6428.67,Standard,2026-03-05
T034,P001,D034,2026-03,22222.06,Enterprise,2026-03-25
T035,P001,D035,2026-03,9712.87,Standard,2026-03-05
T036,P002,D036,2026-03,12695.35,Enterprise,2026-03-20
T037,P002,D037,2026-03,6820.26,Standard,2026-03-20
T038,P002,D038,2026-03,18605.67,Enterprise,2026-03-18
T039,P002,D039,2026-03,9259.66,Standard,2026-03-04
T040,P002,D040,2026-03,4338.63,Pro,2026-03-25
T041,P002,D041,2026-03,5990.96,Standard,2026-03-14
T042,P002,D042,2026-03,14662.66,Pro,2026-03-24
T043,P003,D043,2026-03,22410.37,Enterprise,2026-03-17
T044,P003,D044,2026-03,7698.67,Standard,2026-03-10
T045,P003,D045,2026-03,12150.13,Pro,2026-03-05
T046,P003,D046,2026-03,11103.43,Standard,2026-03-18
T047,P003,D047,2026-03,8863.27,Pro,2026-03-20
